문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),폴더 경로
DOC01059,[52100003]-belif-basic-witchhazelherbalextracttoner-200ml-06.gif,.gif,,2022. 8. 3,,,4.76,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\위치헤이즐토너-witchhazeltoner\
DOC01060,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-01.jpg,.jpg,,2022. 5. 18,,,1.76,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01061,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-02.jpg,.jpg,,2022. 5. 18,,,1.89,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01062,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-03.jpg,.jpg,,2022. 5. 18,,,0.58,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01063,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-04.jpg,.jpg,,2022. 5. 18,,,0.56,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01064,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-05.jpg,.jpg,,2022. 5. 18,,,0.47,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01065,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-06.gif,.gif,,2022. 8. 3,,,9.47,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01066,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-07.gif,.gif,,2022. 8. 3,,,10.49,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01067,[52100001]-belif-basic-eucalyptusherbalextracttoner-200ml-08.gif,.gif,,2022. 8. 3,,,3.33,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\유칼립투스토너-euclayptustoner\
DOC01068,[52100436]-belif-classic-creamultimate-50ml-01.jpg,.jpg,,2023. 5. 25,,,0.25,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
