문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),용량(MB),용량(KB),용량,Folder Path,,,,,,,,,,,,,,,,,,,,,
DOC00041,0407_[빌리프] 해피 보 선 메탈 쿠션 15g_Q 출고데이터.png,.png,,2023. 4. 7,,,9.75,9.75,9979.84,10219356,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00042,0407_[빌리프] 해피 보 소프트 수딩 크림 150ml_Q 출고데이터.png,.png,,2023. 4. 7,,,10.34,10.34,10589.80,10843953,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00043,0407_[빌리프] 해피 보 이지워시 선스틱_Q 출고데이터.png,.png,,2023. 4. 7,,,7.36,7.36,7540.93,7721917,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00044,0407_[빌리프] 해피 보 탑투토 올인원 워시 300ml_Q 출고데이터.png,.png,,2023. 4. 7,,,7.78,7.78,7966.88,8158080,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00045,0407_[빌리프] 해피 보 페이스 앤 바디 에멀전 250ml_Q 출고데이터.png,.png,,2023. 4. 7,,,9.81,9.81,10040.78,10281754,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0407_[빌리프] 해피 보 정품 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00046,0419_[빌리프] 브레이브 보 마일드 젤리 샴푸 250ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,0.90,0.90,926.22,948446,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00047,0419_[빌리프] 브레이브 보 올인원 페이셜 로션 125ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,1.11,1.11,1134.75,1161984,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00048,0419_[빌리프] 브레이브 보 페이셜 버블 워시 150ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,0.95,0.95,975.70,999112,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00049,0419_[빌리프] 해피 보 마일드 선 스크린 50ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,1.33,1.33,1363.30,1396023,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00050,0419_[빌리프] 해피 보 마일드 클렌징 워터 200ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,1.77,1.77,1815.78,1859359,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00051,0419_[빌리프] 해피 보 선 메탈 쿠션 15g_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,1.42,1.42,1459.15,1494166,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00052,0419_[빌리프] 해피 보 소프트 수딩크림 150ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,2.31,2.31,2364.30,2421045,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00053,0419_[빌리프] 해피 보 이지워시 선스틱 18g_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,0.98,0.98,1002.10,1026150,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00054,0419_[빌리프] 해피 보 탑투토 올인원 워시 300ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,2.29,2.29,2347.51,2403854,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00055,0419_[빌리프] 해피 보 페이스 앤 바디 에멀전 250ml_개입_Q 출고데이터.jpg,.jpg,,2023. 4. 19,,,2.31,2.31,2364.63,2421385,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\JPG\,,,,,,,,,,,,,,,,,,,,,
DOC00056,0419_[빌리프] 브레이브 보 마일드 젤리 샴푸 250ml_개입_Q 출고데이터.png,.png,,2023. 4. 19,,,9.85,9.85,10084.00,10326014,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00057,0419_[빌리프] 브레이브 보 올인원 페이셜 로션 125ml_개입_Q 출고데이터.png,.png,,2023. 4. 19,,,10.56,10.56,10809.24,11068657,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00058,0419_[빌리프] 브레이브 보 페이셜 버블 워시 150ml_개입_Q 출고데이터.png,.png,,2023. 4. 19,,,10.50,10.50,10751.89,11009937,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00059,0419_[빌리프] 해피 보 마일드 선 스크린 50ml_개입_Q 출고데이터.png,.png,,2023. 4. 19,,,10.72,10.72,10973.27,11236626,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00060,0419_[빌리프] 해피 보 마일드 클렌징 워터 200ml_개입_Q 출고데이터.png,.png,,2023. 4. 19,,,14.16,14.16,14504.11,14852211,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
DOC00061,0419_[빌리프] 해피 보 선 메탈 쿠션 15g_개입_Q 출고데이터.png,.png,,2023. 4. 19,,,12.96,12.96,13275.46,13594068,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\0419_[빌리프] 해피 보 브레이브 보 개입 누끼컷_Q 출고데이터\PNG\,,,,,,,,,,,,,,,,,,,,,
